QUEST_20150317_000001	Bitte wähle den Benutzer, dies erfordert ein Quest-Update.
QUEST_20150317_000002	Statue der Göttin Vakarine
QUEST_20150317_000003	Bitte wähle ein Gebiet.
QUEST_20150317_000004	Wähle
QUEST_20150317_000005	Bitte wähle einen Gegenstand.
QUEST_20150317_000006	Wähle Gruppe
QUEST_20150317_000007	Bitte wähle eine bevorteilte Start Gruppe.
QUEST_20150317_000008	Wähle Zone
QUEST_20150317_000009	Bitte wähle eine Startzone.
QUEST_20150317_000010	Wähle Aufstieg
QUEST_20150317_000011	Bitte wähle eine Klasse.
QUEST_20150317_000012	Bokor Master
QUEST_20150317_000013	So you are curious about this stone slate. {nl}If you wish, I shall show you the will of its creator.
QUEST_20150317_000014	Goddess Laima
QUEST_20150317_000015	By the time you get this message, much time will have passed. {nl}I am Laima, the goddess of fate and wisdom.
QUEST_20150317_000016	600 years ago while creating this revelation, I foresaw a great deal of death and suffering. {nl}If you are seeing this, then I am afraid what I foresaw has come to pass.
QUEST_20150317_000017	The demons have started the first of cataclysms, and the goddesses have vanished. {nl}I knew all of this would occur and did everything I could to prevent this fate, but my power was not enough.
QUEST_20150317_000018	Instead, I wandered through far-seeing dreams for an answer. {nl}You were at the end of them... a Savior.
QUEST_20150317_000019	Unfortunately, the demons could not stay still, knowing that I possess strength in clairvoyance. {nl}I was forced to hide until the time of your appearance.
QUEST_20150317_000020	I decided to divide my being and remain within many revelations. {nl} Revelations that I continued to create secretly over a millennium.
QUEST_20150317_000021	Savior, if you can help me regain my form, we can stop the demons' sinister plans.{nl}You must recover the revelations that I have hidden throughout every axes of time.
QUEST_20150317_000022	This divine task may be a heavy burden, but it is something you must bear. {nl}Perhaps in the muddy midst of your trials and tribulations, something may come about.
QUEST_20150317_000023	Nevertheless, only we can save this world.
QUEST_20150317_000024	I have passed the next revelation to the first Paladin. {nl}He will be waiting for you at the highest flower garden.
QUEST_20150317_000025	The dark aura is indeed unpleasant... {nl}But if this message is truly from the Goddess Laima, then I am simply in awe.
QUEST_20150317_000026	Well, you should hurry and go find Sir Uska. {nl}He will tell you where to go next. {nl}May the goddess bless your fate...
QUEST_20150317_000027	Please select the preferred Smart Gen.
QUEST_20150317_000028	William
QUEST_20150317_000029	The fee's 100 Silber. {nl}It's cheaper than cutting through monster central.
QUEST_20150317_000030	Cyneburg
QUEST_20150317_000031	That'll be 100 Silber coins. {nl}That'll cover operations, labor, and other expenses.
QUEST_20150317_000032	Hey, wait a minute. {nl}You know you need more than that...
QUEST_20150317_000033	That's no good! {nl}I can't work for nothing, even for a Revelator.
QUEST_20150317_000034	Wandering Merchant
QUEST_20150317_000035	Like a dandelion's seeds, I am merely one who follows the wind. {nl}Since we've met in such a curious way, perhaps you could spare a moment to view my curiosities?
QUEST_20150317_000036	Kristina
QUEST_20150317_000037	Willkommen!{nl}Du suchst nach einem Reisebegleiter, nicht wahr?{nl}Du wirst keinen besseren Ort für einen Partner finden als hier!
QUEST_20150317_000038	You can make your companions watch you fight or train special attributes. {nl}Earn enough affection, and you can even buy some cool equipment!
QUEST_20150317_000039	Raising your companion's affection will increase riding stamina and evasion! {nl}So what do you think? Is that enough to make you consider one?
QUEST_20150317_000040	The box requires a matching key.
QUEST_20150317_000041	Wähle Quest
QUEST_20150317_000042	Modify Quest Status
QUEST_20150317_000043	Force start?
QUEST_20150317_000044	Gegenstände zum löschen
QUEST_20150317_000045	Wähle GenType
QUEST_20150317_000046	Wähle Koordinaten
QUEST_20150317_000047	Knight Titas
QUEST_20150317_000048	If so, go see Knight Commander Uska in Klaipeda. {nl}But first, I have an important errand I would like to run you by, so follow me.
QUEST_20150317_000049	It would be nice if I could find a moment to relax...
QUEST_20150317_000050	Sparnas... {nl}is not someone to take lightly...
QUEST_20150317_000051	Soldier Moody
QUEST_20150317_000052	Let's deal with this monster before talking.
QUEST_20150317_000053	Joint Investigation Team - Scott
QUEST_20150317_000054	I long for a time when our team is no longer needed... {nl}What a peaceful age that would be...
QUEST_20150317_000055	I don't know where to start. {nl}Have you heard anything?
QUEST_20150317_000056	By royal orders, we've come to this forest to investigate some strange events. {nl}Witnesses have reported something with a big face and bony fingers. {nl}What in the world could that be?
QUEST_20150317_000057	In the past, pilgrims traveled through this forest. {nl}But now due to the presence of monsters, only soldiers gather here.
QUEST_20150317_000058	Up until four years ago, the goddesses often blessed us with signs of their presence. {nl}But now, even our combined prayers don't bring so much as a tremor. {nl}Have they truly abandoned us?
QUEST_20150317_000059	Vacenin personally goes to each region to deal with things. {nl}He gets uncomfortable when he stays in the city.
QUEST_20150317_000060	Do you plan on staying or enlisting? {nl}If you're interested, I'll gladly recommend you to the head commanders.
QUEST_20150317_000061	Don't let your guard down. Monsters can appear any time, anywhere.
QUEST_20150317_000062	Where in the world did Goddess Zemyna go...
QUEST_20150317_000063	What in the world do you call this?
QUEST_20150317_000064	I think Zemyna, the goddess of the earth would grieve more than anyone else.
QUEST_20150317_000065	The Pokubu have always been here, but sometimes unfamiliar monsters are spotted as well.
QUEST_20150317_000066	I've thought about it. There's no doubt that the goddesses have abandoned us all. {nl}If that weren't so, then there wouldn't be so many monsters.
QUEST_20150317_000067	They say there's a man blessed with the goddess' strength living in the forest.
QUEST_20150317_000068	I want to go home.
QUEST_20150317_000069	The number of monsters here doesn't seem to change no matter how many of them we kill.
QUEST_20150317_000070	Did Julian send you off, Revelator?
QUEST_20150317_000071	I'm amazed. {nl}You're the first person I've met here in several years.
QUEST_20150317_000072	I'll show you what I saw.
QUEST_20150317_000073	Please, forget about me and just leave. {nl}The flowers seem to be coming along beautifully.
QUEST_20150317_000074	Lena
QUEST_20150317_000075	Please, tell me your life story. {nl}We follow the will of Vibora and record all that is in this world.
QUEST_20150317_000076	Henrika
QUEST_20150317_000077	Hello! {nl}Welcome to the Klaipeda branch of the Magie Association. {nl}We specialize in studying the strange phenomena that occur when special items are combined.
QUEST_20150317_000078	There's nothing to see here but steam and Vubbes. {nl}Wait, what's that thing with the big face that's approaching?!
QUEST_20150317_000079	The land needs our attention as well. {nl}The world still isn't ruined... right?
QUEST_20150317_000080	If we continue to have courtesy, then we still know the way of a righteous life. {nl}We should all consider whether or not this mess is our fault because we relied on the goddesses for everything.
QUEST_20150317_000081	Schwarzes Brett
QUEST_20150317_000082	Willkommen in der Minenstadt Klaipeda!
QUEST_20150317_000083	Teilnahmslose Witwe
QUEST_20150317_000084	Ich bin mir nicht sicher ob ich es vollständig verstanden habe, wo ich mir aber ganz sicher bin ist dass die Göttinnen nicht alle auf einmal verschwanden.
QUEST_20150317_000085	Die erste die verschwand war Göttin Gabija.{nl}Ich habe gehört das es vor sehr langer Zeit war.{nl}Ein nach dem anderen begann es mit Gabija, sie hörte auf zu antworten.
QUEST_20150317_000086	Goddess Vakarine left us shortly before Medzio Diena. {nl}Both Zemyna and Ausrine disappeared soon after. {nl}It's already been four years since.
QUEST_20150317_000087	That's right. The strangest one of all was the Goddess Laima. {nl}No one's really sure when she disappeared.
QUEST_20150317_000088	Besides, isn't Laima the goddess of fate and foresight? {nl}She probably knew all about it.
QUEST_20150317_000089	Resting Soldier
QUEST_20150317_000090	I used to be an adventurer like you. Then I took an arrow in the knee...
QUEST_20150317_000091	It doesn't matter. Come and face me, you monsters!
QUEST_20150317_000092	A goddess appeared in my dream just now... {nl}It was so enchanting...
QUEST_20150317_000093	Still, I have a duty to defend the kingdom. That's why I'm here.
QUEST_20150317_000094	Uska is an old friend of mine.
QUEST_20150317_000095	We did our tests to become knights together. Uska got to where he is now with my sincere support. {nl}Oh, those were some crazy days... It'd be nice to see him again.
QUEST_20150317_000096	Just don't believe everything he says. {nl}He was known for being quite the show-off back home.
QUEST_20150317_000097	Me? I find it funny, so I just leave him alone.
QUEST_20150317_000098	Uh, wait. I take back what I said about not believing all he says.
QUEST_20150317_000099	Everything that flies out of his mouth is a lie. Don't trust him.
QUEST_20150317_000100	Siauliai Guard
QUEST_20150317_000101	There are monsters beyond this point. Be careful.
QUEST_20150317_000102	These woods aren't exactly peaceful, but it's better than other places. {nl}There are forests that have nothing but souls roaming about.
QUEST_20150317_000103	This is what people who have seen a goddess in their dreams are being called.
QUEST_20150317_000104	I thought the Revelators' visions were madness at first. {nl}After all, the goddesses have been gone for a long time.
QUEST_20150317_000105	Isn't it true that the goddesses haven't responded to any of our prayers since Medzio Diena four years ago?
QUEST_20150317_000106	You can find Class Masters all around the kingdom. {nl}Why don't you visit them and learn what you can?
QUEST_20150317_000107	You don't know about Medzio Diena? You must have come from really far away. {nl}Four years ago, things went out of control at the capital.
QUEST_20150317_000108	It was a disaster... Many people were either injured or killed. {nl}Once gentle creatures turned fierce and many new monsters emerged.
QUEST_20150317_000109	If you are still interested about what happened on Medzio Diena four years ago, try visiting Klaipeda. {nl}Many of its survivors took refuge there.
QUEST_20150317_000110	Eastern Woods Sentinel
QUEST_20150317_000111	Are you heading to the Eastern Woods? {nl}You mustn't! It's far too dangerous!
QUEST_20150317_000112	Damn, those stubborn things chased us this far!
QUEST_20150317_000113	Those screams... We're under attack!
QUEST_20150317_000114	Safety Instructions
QUEST_20150317_000115	1. Only authorized personnel may enter. {nl}2. Always follow the directions of the mining supervisor.
QUEST_20150317_000116	3. Do not approach closed-off areas. {nl}4. Any suspicious individuals should be reported to the knights of Klaipeda.
QUEST_20150317_000117	Supply Base Soldier
QUEST_20150317_000118	I've never been in a real fight before so I'm a bit nervous.
QUEST_20150317_000119	Farm Sentinel
QUEST_20150317_000120	My colleague is in the middle of a battle at the Minenarbeiter Dorf. {nl}I've thought of going to help, but the Eastern Woods is in trouble as well, so all I can do is worry.
QUEST_20150317_000121	I think this mission has shown me enough monsters for a lifetime. {nl}It used to be just groups of Vubbes.
QUEST_20150317_000122	Chupacabras are fond of the streams and lush vegetation of the northern area.
QUEST_20150317_000123	Klaipeda Guard Captain
QUEST_20150317_000124	You're the...
QUEST_20150317_000125	It looks like you can see into the upper forest from here. {nl}Try not to get into trouble.
QUEST_20150317_000126	You don't have the required quest item. Are you sure you want to continue?
QUEST_20150317_000127	Klaipeda Mädchen
QUEST_20150317_000128	My neighbor used to be a monster hunter. {nl}He's retired now though. It has gotten ferociously dangerous.
QUEST_20150317_000129	It would be nice if all these Revelators being here meant that the goddesses are back.
QUEST_20150317_000130	It might be silly to hope for the goddess' return, but it's better than nothing.
QUEST_20150317_000131	Klaipeda Dame
QUEST_20150317_000132	We can still grow from the land, and have a warm hearth at our homes to rest at. {nl}I will always believe the goddesses are somewhere in the world.
QUEST_20150317_000133	Keep faith. {nl}The goddesses may still send a Savior to us.
QUEST_20150317_000134	Hoplite Master
QUEST_20150317_000135	If the sword is a symbol of power, then the spear is that of pure destruction. {nl}Power or destruction - what would you reach for on the battlefield?
QUEST_20150317_000136	Maschinenführer
QUEST_20150317_000137	Selbst wenn die Welt so chaotisch wie jetzt ist können wir nicht aufhören zu arbeiten.{nl}Es ist Vier Jahre her. Ist es nicht an der Zeit seinen Frieden mit der Vergangenheit zu finden und neu anzufangen?
QUEST_20150317_000138	Klaipeda ist eine Stadt die von Bergbau lebt. {nl}Mit Medzio Diena sollten wir Pflanzen zum Arbeiten verwenden oder sie abschneiden.
QUEST_20150317_000139	My old man did this thing where he checked around corners for anything nice. {nl}Sometimes, he'd get lucky and find a nice treasure chest. I wonder who leaves them there.
QUEST_20150317_000140	Retired Jäger
QUEST_20150317_000141	I remember this battle in a deep canyon where soldiers fought a huge monster. {nl}Seeing the giant thing fall was amazing, but what was more amazing were the spoils.
QUEST_20150317_000142	Old Potter
QUEST_20150317_000143	I put a prayer on my earthenware, one by one. {nl}That way, the pots will one day be filled with the goddess' blessings.
QUEST_20150317_000144	Schwersmen should have Strength, but you can also have Dexterity and Constitution. {nl}You'll need to think about what to start with.
QUEST_20150317_000145	Wizards work with Intelligence, but shouldn't forget Spirit for more spell-casting. {nl}You'll have to choose between being balanced or specialized.
QUEST_20150317_000146	Archers should have Strength, but Dexterity will prevent problems with movement. {nl}You'll need to think about what to start with.
QUEST_20150317_000147	Clerics work with Intelligence, but might need a lot of Strength or Spirit. {nl}You should really decide what you want first.
QUEST_20150317_000148	Doppelsoeldner Master
QUEST_20150317_000149	Worthwhile things always carry a degree of risk. {nl}Naturally, for big rewards, you'll have to put up with lots of danger.
QUEST_20150317_000150	Corsair Master
QUEST_20150317_000151	I won't help anyone in trouble if there isn't anything in it for me.
QUEST_20150317_000152	Boulder
QUEST_20150317_000153	A Groß boulder is blocking the way.
QUEST_20150317_000154	It needs to be repaired.
QUEST_20150317_000155	A boulder blocks the way.
QUEST_20150317_000156	Magical Research Material
QUEST_20150317_000157	It appears to be someone's research notes from Mage Tower. {nl}Should it be copied?
QUEST_20150317_000158	Hiding and sneaking won't solve all your problems. {nl}A true Scout must also be ready to fight.
QUEST_20150317_000159	You're gonna need a lot of things when traveling. {nl}Be sure to stock up your provisions in advance.
QUEST_20150317_000160	If the control magic is dispelled, the divine messages won't be protected.
QUEST_20150317_000161	Forgotten Thief's Monument
QUEST_20150317_000162	I, Zubeck, leave this epitaph. {nl}For the honor of being the greatest thief in history, I challenged a powerful sorcerer.
QUEST_20150317_000163	But could I, a mere thief, claim victory by merely stealing from her? {nl}Perhaps, if I could rob the greatest archmage blind.
QUEST_20150317_000164	Yet, I couldn't. {nl}I wanted to be the number one thief in all of history, not just today.
QUEST_20150317_000165	I have at last discovered a way to enter the Mage Tower. {nl}To do so one has to concentrate magic power at a specific place. {nl}Now, I only need take one more decisive step.
QUEST_20150317_000166	Then, my special device will activate. {nl}If you do as I did, you will be able to enter the tower as well.
QUEST_20150317_000167	After that, you too can show those dumb magicians a thing or two. Haha!
QUEST_20150317_000168	Commanding Monument
QUEST_20150317_000169	The thieves who entered this tower were burned alive. {nl}I leave this monument as a warning to other trespassers. {nl}- Agailla Flurry
QUEST_20150317_000170	Demon Queen Gesti
QUEST_20150317_000171	Insolent humans.
