SKILL_20150317_000001	Angriff
SKILL_20150317_000002	[Elite Kepa] 1 time, Physical, Poison Property, Schlag
SKILL_20150317_000003	[Rafflesia] Spread Poison
SKILL_20150317_000004	[Rafflesia] Giftbombe
SKILL_20150317_000005	[Raffly] Physical, Schlag, Poison Property, Attack 1 time
SKILL_20150317_000006	[Raffly] Physical, Schlag, Poison Property, Jump Attack 1 time
SKILL_20150317_000007	[Puragi] Physical, Schlag, Poison Property, Normal Attack 1 time
SKILL_20150317_000008	[Puragi] Physical, Schlag, Poison Property, Attack 1 time
SKILL_20150317_000009	[Puragi] Physical, Schlag, Poison Property, Stomp 1 time
SKILL_20150317_000010	[Zigri] Normale Attacke, Conical AoE
SKILL_20150317_000011	[Zigri] Spinning Schlag
SKILL_20150317_000012	[Zigri] Jump and Stomping Shock
SKILL_20150317_000013	[Fisherman] Physical, Schlag, Ice Property, Schlag with Fishing Rute
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill
SKILL_20150317_000015	[Green Pokuborn] Physical, Stich, Lightning Property, Horn Attack 1 time
SKILL_20150317_000016	[Bushspider] Physical, Schlag, Earth Property, Attack 1 time
SKILL_20150317_000017	[Fragaras] Quick bite
SKILL_20150317_000018	[Fragaras] Groß Chomp
SKILL_20150317_000019	[Fragaras] Normale Attacke, Conical AoE
SKILL_20150317_000020	Basis normale Attacke
SKILL_20150317_000021	[Meduja] Magic, Magic, Lightning Property Attack 1 time
SKILL_20150317_000022	[Gribaru] Physical, Hieb, Lightning Property Attack 1 time
SKILL_20150317_000023	[Gribaru] Physical, Hieb, Lightning Property Knock-back Attack Attack 1 time
SKILL_20150317_000024	[Bite] Physical, Stich, Poison Property Attack 1 time,
SKILL_20150317_000025	[Banshee] Magic, Magic, Ice Property, Breath Attack 1 time
SKILL_20150317_000026	[Banshee] Magic, Magic, Ice Property, Ice Spieß
SKILL_20150317_000027	[Mini Griba] Physical, Schlag, Lightning Property, Zweihand Schlag 1 time
SKILL_20150317_000028	[Big Griba] Physical, Schlag, Lightning Property, Smash 1 time
SKILL_20150317_000029	[Big Griba] Physical, Schlag, Lightning Property,Spread poison 1 time
SKILL_20150317_000030	[Big Griba] Physical, Schlag, Lightning Property,Ground Smash 1 time
SKILL_20150317_000031	[Haming] Physical, Schlag, Lightning Property, Head Schlag
SKILL_20150317_000032	[Haming] Physical, Schlag, Lightning Property, Counter Skill
SKILL_20150317_000033	[Haming] Physical, Schlag, Lightning Property, Jump and rotating attack
SKILL_20150317_000034	[Trüffel] Physical, Schlag, Lightning Property, Body Slam
SKILL_20150317_000035	[Trüffel] Physical, Schlag, Lightning Property, Smash
SKILL_20150317_000036	[Trüffel] Physical, Schlag, Lightning Property, Body Slam
SKILL_20150317_000037	[Slime_Dark] Physical, Schlag, Dark Property, Headbutt
SKILL_20150317_000038	[Slime_Dark] Physical, Schlag, Dark Property, Attack 1 time
SKILL_20150317_000039	[Kepa] Physical, Schlag, Poison Property, Conical AoE
SKILL_20150317_000040	[Addicted Kepa] Normal Attack, Conical AoE
SKILL_20150317_000041	[Old Kepa] Physical, Schlag, Earth Property, Fume Smoke
SKILL_20150317_000042	[Thornball] Physical, Stich, Poison Property, Conical AoE
SKILL_20150317_000043	[Matsum] Physical, Schlag, Fire Property, Conical AoE
SKILL_20150317_000044	[Sakmoli] Magic, Schlag, Ice Property. Normal Attack 1 time
SKILL_20150317_000045	[Sakmoli] Magic, Schlag, Ice Property, Normal Attack 1 time
SKILL_20150317_000046	[Jukopus] Physical, Schlag, Earth Property, Body Slam
SKILL_20150317_000047	[Jukopus] Physical, Schlag, Earth Property, Jump and Body Slam
SKILL_20150317_000048	[Red Bushspider] Jump and Smash
SKILL_20150317_000049	[Red Bushspider] Normal Attack, Conical AoE
SKILL_20150317_000050	[Banach Dionia] Normal Attack, Conical AoE
SKILL_20150317_000051	[Mini Griba] Physical, Schlag, Poison Property, One Punch
SKILL_20150317_000052	[Mini Griba] Physical, Schlag, Poison Property, One-two Punch
SKILL_20150317_000053	[Mini Griba] Physical, Schlag, Poison Property, Zweihand Schlag
SKILL_20150317_000054	[Griba] Physical, Schlag, Ice Property Attack 1 time
SKILL_20150317_000055	[Griba] Magic, Magic, Ice Property Attack 1 time
SKILL_20150317_000056	[Old Kepa] Normal Attack, Conical AoE
SKILL_20150317_000057	[Tree Ghost] Einhand Schlag
SKILL_20150317_000058	[Tree Ghost] Zweihand clap
SKILL_20150317_000059	[Tree Ghost] Stomp ground
SKILL_20150317_000060	[Cockatrice] Magic, Magic, Fire Property, Fume Fire 3 times
SKILL_20150317_000061	[Zinute] Physical Stich Fire Property Attack 1 time
SKILL_20150317_000062	[Zinute] Physical Hieb Fire Property Attack 1 time
SKILL_20150317_000063	[Tontulia] Physical Schlag Lightning Property Attack 1 time
SKILL_20150317_000064	[Tontulia] Physical Schlag Lightning Property Attack 2 times
SKILL_20150317_000065	[Tontus] Physical Schlag, Poison Property Attack 2 times
SKILL_20150317_000066	[Tontus] Physical Stich, Poison Property Attack 1 time
SKILL_20150317_000067	[Tontus] Physical Schlag, Poison Property Attack 1 time
SKILL_20150317_000068	[Vekarabe] Physical, Stich, Poison Property, Forward Stich Attack
SKILL_20150317_000069	[Vekarabe] Physical, Stich, Poison Property, Forward Upper Stich Attack
SKILL_20150317_000070	[Geppetto] Physical Schlag, Earth Property Attack 2 times
SKILL_20150317_000071	[Geppetto] Physical Schlag, Earth Property Attack 1 time
SKILL_20150317_000072	[Geppetto] Physical Schlag, Earth Property Attack 1 time
SKILL_20150317_000073	[Boowook] Physical, Schlag, Earth Property Attack 1 time
SKILL_20150317_000074	[Boowook] Physical, Schlag, Earth Property Feet Stomp Attack 1 time,
SKILL_20150317_000075	[Desmodus] Physical, Stich, Dark Property Tail Blow
SKILL_20150317_000076	[Desmodus] Physical, Stich, Dark Property Body Blow
SKILL_20150317_000077	[Pino] Physical Blow, Earth Property Attack 1 time
SKILL_20150317_000078	[Cauliflower] Physical, Stich, Poison Property, Smash with tentacle
SKILL_20150317_000079	[Cauliflower] Physical, Stich, Poison Property, Gouge with tentacle
SKILL_20150317_000080	[Cauliflower] Physical, Stich, Poison Property, Ground Smash
SKILL_20150317_000081	[Helmet Bug] Physical, Stich, Earth Property, Attack 1 time
SKILL_20150317_000082	[Helmet Bug] Normal Attack2
SKILL_20150317_000083	[Bikaaras Mage] Magic, Magic, Fire Property, Attack 1 time
SKILL_20150317_000084	[Bikaaras Mage] Physical, Hieb, Fire Property, Attack 1 time
SKILL_20150317_000085	[Vikaras] Physical, Hieb, Fire Property, Attack 1 time
SKILL_20150317_000086	[Vikaras] Physical, Hieb, Fire Property, Ground Smash 1 time
SKILL_20150317_000087	[Mutant Chinency] Normal Attack, Forward Missile
SKILL_20150317_000088	[Zinute] Einhand Blow
SKILL_20150317_000089	[Zinute] Zweihand clap
SKILL_20150317_000090	[Zinute] Ground Smash
SKILL_20150317_000091	[Lauzinute] Physical, Stich, Fire Property Attack 1 time
SKILL_20150317_000092	[Lauzinute] Physical, Stich, Fire Property Rotating Attack
SKILL_20150317_000093	[Dandel] Physical Stich Lightning Property Attack 1 time
SKILL_20150317_000094	[Rusrat] Physical, Hieb, Lightning Property Attack 2 times
SKILL_20150317_000095	[Rusrat] Physical, Hieb, Lightning Property Attack 1 time
SKILL_20150317_000096	[Medakia] Physical, Hieb, Dark Property Attack 1 time
SKILL_20150317_000097	[Medakia] Magic, Magic, Dark Property Attack 1 time
SKILL_20150317_000098	[Medakia] Ground Smash
SKILL_20150317_000099	[Wheelen] Zweihand clap
SKILL_20150317_000100	[Mauros] Physical, Schlag, Dark Property Attack 1 time
SKILL_20150317_000101	[Mauros] Physical, Schlag, Dark Property Smash Attack 1 time
SKILL_20150317_000102	[Sauga] Physical Schlag Earth Property Attack 1 time
SKILL_20150317_000103	[Sauga] Physical, Schlag, Earth Property Ground Smash
SKILL_20150317_000104	Pumpkin Normal attack.
SKILL_20150317_000105	Attack 2
SKILL_20150317_000106	Pumpkin Normal attack 2.
SKILL_20150317_000107	[Saurman Priest] Normal attack.
SKILL_20150317_000108	Skills
SKILL_20150317_000109	[Saurman Priest] skills.
SKILL_20150317_000110	Saurman Normal attack.
SKILL_20150317_000111	Saurman Normal attack 2.
SKILL_20150317_000112	Boy Ghost Normal attack.
SKILL_20150317_000113	Boy Ghost skills.
SKILL_20150317_000114	Uncle Ghost Normal attack.
SKILL_20150317_000115	Uncle Ghost skills.
SKILL_20150317_000116	Goble Elite Normal attack.
SKILL_20150317_000117	Goble Elite Normal attack 2.
SKILL_20150317_000118	Screw Zombie Normal attack.
SKILL_20150317_000119	Screw Zombie Normal attack 2.
SKILL_20150317_000120	Berserker Zombie Normal attack.
SKILL_20150317_000121	Candle Zombie Normal attack.
SKILL_20150317_000122	Zombie Archer Normal attack.
SKILL_20150317_000123	[High Vubbe] Physical, Hieb, Water Property, Normal attack
SKILL_20150317_000124	[High Vubbe Archer] Range, Stich, Water Property, Normal attack
SKILL_20150317_000125	Girl Ghost Normal attack.
SKILL_20150317_000126	Girl Ghost skills.
SKILL_20150317_000127	Madam Ghost Normal attack.
SKILL_20150317_000128	Madam Ghost skills.
SKILL_20150317_000129	Mirtis Eyeball Normal attack.
SKILL_20150317_000130	Mirtis Eyeball Normal attack 2.
SKILL_20150317_000131	Specter Elite Normal attack.
SKILL_20150317_000132	Specter Elite Normal attack 2.
SKILL_20150317_000133	[Chinency] Physical, Schlag, Earth Property, one stroke ahead-back blow
SKILL_20150317_000134	[Popolion] Physical, Schlag, Earth Property, Headbutt
SKILL_20150317_000135	[Popolion] Physical, Schlag, Earth Property, Sonic wave attack
SKILL_20150317_000136	[Range Chinency] Normal attack, Forward missile
SKILL_20150317_000137	[Range Chinency] Skill 1, Forward missile, induce Knockback
SKILL_20150317_000138	[Chupacabra] Physical, Schlag, Earth Property, Headbutt
SKILL_20150317_000139	[Chupacabra] Physical, Schlag, Earth Property, Jump and Stomp
SKILL_20150317_000140	[Chupacabra] Chupa Normal attack 3
SKILL_20150317_000141	[Chupacabra] Chupa Normal attack 4
SKILL_20150317_000142	Specter Normal attack.
SKILL_20150317_000143	Woodspirit Normal attack.
SKILL_20150317_000144	Woodspirit Normal attack 2.
SKILL_20150317_000145	Guard Normal attack.
SKILL_20150317_000146	Guard Normal attack 2.
SKILL_20150317_000147	Groß explosion
SKILL_20150317_000148	Groß explosion (Defense)
SKILL_20150317_000149	One-way turret Normal attack.
SKILL_20150317_000150	[Ridimed] Physical, Blow, Poison Property, Attack 1 time
SKILL_20150317_000151	Goblin Fighter attack.
SKILL_20150317_000152	Thorn Bush Normal attack.
SKILL_20150317_000153	[Combat Soldiers] Combatants attack
SKILL_20150317_000154	[Combat Soldiers] Combatants attack 2
SKILL_20150317_000155	Zombie Archer skill.
SKILL_20150317_000156	Wheelchair Zombie Normal attack.
SKILL_20150317_000157	Wheelchair Zombie skills.
SKILL_20150317_000158	Wall of Flame
SKILL_20150317_000159	Create a Wall of Flame that damages enemies upon contact.
SKILL_20150317_000160	Mine explosion
SKILL_20150317_000161	Detonate explosive mines.
SKILL_20150317_000162	Toxic explosion
SKILL_20150317_000163	Detonate toxic mines.
SKILL_20150317_000164	Claymore explosion
SKILL_20150317_000165	Claymore explosion.
SKILL_20150317_000166	Sprungangriff
SKILL_20150317_000167	Life Stream
SKILL_20150317_000168	Life Stream Hill
SKILL_20150317_000169	Glacier Wedge
SKILL_20150317_000170	After the 2 Glacier Wedge
SKILL_20150317_000171	Seed explosion
SKILL_20150317_000172	Seed explosion.
SKILL_20150317_000173	Flame explosion
SKILL_20150317_000174	Flame explosion.
SKILL_20150317_000175	Schneesturm
SKILL_20150317_000176	Meteor Bang
SKILL_20150317_000177	Normaler Angriff
SKILL_20150317_000178	Smack Down
SKILL_20150317_000179	Smack down and damage enemies while pushing them away.
SKILL_20150317_000180	Missile attack
SKILL_20150317_000181	AOS turret attack
SKILL_20150317_000182	[Woodman] attack
SKILL_20150317_000183	Salamander attack
SKILL_20150317_000184	[Vubbe Miner] Physical, Hieb, Earth Property, Swing Pickaxe
SKILL_20150317_000185	Hall statue attack
SKILL_20150317_000186	Hall statue skill
SKILL_20150317_000187	Priest attack 1
SKILL_20150317_000188	Priest skill 1
SKILL_20150317_000189	[Green Apparition] Magic, Magic, Lightning Property, Attack 1 time
SKILL_20150317_000190	Attack Statue 1
SKILL_20150317_000191	[Vubbe Theif] Physical, Hieb, Earth Property, Speer Twirl
SKILL_20150317_000192	[Vubbe Theif] Physical, Stich, Earth Property Aries skills
SKILL_20150317_000193	[Saurman Speerman] Normal attack.
SKILL_20150317_000194	[Saurman Speerman] Normal attack 2.
SKILL_20150317_000195	[Vubbe Archer] Range, Stich, Earth Property, Frontal Pfeil Shot
SKILL_20150317_000196	[Pokubu] Physical, blow, Earth Property, Hook Attack
SKILL_20150317_000197	[Bagworm] Magic, Magic, Poison Property, Frontal Poison Spread Attack
SKILL_20150317_000198	[Bagworm] Long Distance, Magic, Poison Property, Ranged Poison Shot
SKILL_20150317_000199	[Saurman Axeman] Normal attack.
SKILL_20150317_000200	[Saurman Axeman] Normal attack 2.
SKILL_20150317_000201	Heal
SKILL_20150317_000202	Monster Heal
SKILL_20150317_000203	Vubbe Miner Attack
SKILL_20150317_000204	[Feral Pokubu] Normal attack.
SKILL_20150317_000205	Guard Normal attack.
SKILL_20150317_000206	Guard Normal attack 2.
SKILL_20150317_000207	Guard Normal attack 3.
SKILL_20150317_000208	[Candle Spider] Physical, Blow, Dark Property, One-Legged Attack
SKILL_20150317_000209	[Candle Spider] Physical, Blow, Dark Property, Body Slam
SKILL_20150317_000210	[Candle Spider] Physical, Blow, Dark Property, Jump and Two-Legged Stomp
SKILL_20150317_000211	[Winged Frog] Physical, Blow, poison Property, Attack 1 time
SKILL_20150317_000212	[Winged Frog] Physical, Blow, poison Property, Poison Attack 1 time
